,ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price (AUD),type_of_engine,engine_capacity
0,17042,domestic assembly,new car,truck,0,white,gray,2,2,Petrol	1.0 L,nan,manual,rfd - rear-wheel drive,,suzuki,super carry truck,2022.0,Suzuki Super Carry Truck 1.0 MT 2022,10080.99411,petrol,1.0
1,53794,imported,new car,suv,0,black,black,5,7,Petrol	3.4 L,nan,automatic,awd - 4-wheel drive (awd),10.0,toyota,land cruiser,2022.0,Toyota Land Cruiser 3.5 V6 2022,161943.6805,petrol,3.4
2,73954,domestic assembly,new car,crossover,0,silver,brown,5,8,Petrol	2.0 L,nan,automatic,rfd - rear-wheel drive,,toyota,innova,2023.0,Toyota Innova G 2.0 AT 2023 car,35830.0393,petrol,2.0
3,74150,imported,new car,suv,0,white,black,5,5,Petrol	1.8 L,nan,automatic,fwd - front-wheel drive,,toyota,corolla cross,2023.0,Toyota Corolla Cross 1.8G 2023,30526.38376,petrol,1.8
4,87573,domestic assembly,new car,crossover,0,silver,gray,5,8,Petrol	2.0 L,nan,automatic,rfd - rear-wheel drive,,toyota,innova,2022.0,Toyota Innova G 2.0 AT 2022 car,34413.03209,petrol,2.0
5,97011,domestic assembly,new car,van/minivan,0,white,gray,5,2,Petrol	1.0 L,nan,manual,rfd - rear-wheel drive,7.0,suzuki,super carry van,2023.0,Suzuki Super Carry Van Blind Van 2023,12105.29011,petrol,1.0
6,101726,domestic assembly,new car,suv,0,white,black,5,7,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,crv,2023.0,Honda CRV L 2023 car,39838.14539,petrol,1.5
7,135739,imported,new car,suv,0,copper,black,5,7,Petrol	2.7 L,nan,automatic,rfd - rear-wheel drive,,toyota,fortuner,2023.0,Toyota Fortuner 2.7L 4x2 AT 2023,40485.92011,petrol,2.7
8,142495,domestic assembly,new car,4x4,0,grey,black,4,5,Diesel	2.2 L,single turbo oil injection,automatic,rfd - rear-wheel drive,7.0,ford,ranger,2023.0,Ford Ranger XLS 2.0L 4x2 AT 2023,27854.31303,diesel,2.2
9,143308,domestic assembly,new car,4x4,0,black,black,4,5,Diesel	2.2 L,single turbo oil injection,automatic,4wd - four-wheel drive (4wd),7.0,ford,ranger,2023.0,Ford Ranger XLT 2.0L 4x4 AT 2023,33603.31369,diesel,2.2
10,174951,domestic assembly,new car,van/minivan,0,white,cream,4,7,Diesel	2.2 L,tdci,manual,rfd - rear-wheel drive,9.0,ford,transit,2023.0,Ford Transit Ambulance 2023,38056.76491,diesel,2.2
11,182003,domestic assembly,new car,crossover,0,silver,gray,5,8,Petrol	2.0 L,nan,manual,rfd - rear-wheel drive,,toyota,innova,2022.0,Toyota Innova E 2.0 MT 2022,30364.44008,petrol,2.0
12,182298,imported,new car,suv,0,white,cream,5,5,Petrol	2.7 L,vvti,automatic,4wd - four-wheel drive (4wd),10.0,toyota,prado,2022.0,Toyota Prado VX 2.7L 2022,80971.8402,petrol,2.7
13,183963,domestic assembly,new car,sedan,0,white,yellow,4,5,Petrol	1.5 L,multi-point electronic fuel injection,automatic,fwd - front-wheel drive,6.0,toyota,vios,2022.0,Toyota Vios E CVT 2022,21943.3687,petrol,1.5
14,203337,imported,new car,suv,0,white,black,5,7,Diesel	2.0 L,single turbo oil injection,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Ambiente 2.0L 4x2 AT 2023,40485.92011,diesel,2.0
15,211394,imported,new car,hatchback,0,red,cream,5,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,toyota,yaris,2022.0,Toyota Yaris G 1.5 AT 2022,26315.84807,petrol,1.5
16,304604,domestic assembly,new car,sedan,0,black,cream,4,5,Petrol	1.5 L,vvti,automatic,fwd - front-wheel drive,6.0,toyota,vios,2022.0,Toyota Vios G 1.5 CVT 2022,23967.66471,petrol,1.5
17,449343,domestic assembly,new car,suv,0,white,black,5,7,Petrol	2.0 L,multi-point electronic fuel injection,automatic,fwd - front-wheel drive,8.0,mitsubishi,outlander,2022.0,Mitsubishi Outlander 2.0 CVT 2022,33400.88409,petrol,2.0
18,449349,domestic assembly,new car,suv,0,silver,black,5,7,Petrol	1.5 L,electronic fuel injection,manual,fwd - front-wheel drive,6.0,mitsubishi,xpander,2022.0,Mitsubishi Xpander 1.5 MT 2022,22469.68566,petrol,1.5
19,485640,domestic assembly,new car,suv,0,white,black,5,7,Diesel	2.4 L,nan,automatic,rfd - rear-wheel drive,,toyota,fortuner,2022.0,Toyota Fortuner 2.4G 4x2 AT Legender 2022,40485.92011,diesel,2.4
20,485669,domestic assembly,new car,crossover,0,white,brown,5,8,Petrol	2.0 L,nan,manual,rfd - rear-wheel drive,,toyota,innova,2022.0,Toyota Innova E 2.0 MT 2022,30566.86968,petrol,2.0
21,485675,domestic assembly,new car,crossover,0,silver,brown,5,8,Petrol	2.0 L,nan,manual,rfd - rear-wheel drive,,toyota,innova,2022.0,Toyota Innova E 2.0 MT 2022,30566.86968,petrol,2.0
22,485696,imported,new car,suv,0,black,gray,5,7,Petrol	2.7 L,nan,automatic,4wd - four-wheel drive (4wd),,toyota,prado,2022.0,Toyota Prado VX 2.7L 2022,80971.8402,petrol,2.7
23,515018,imported,new car,truck,0,white,gray,2,2,Diesel	11.1 L,turbocharger is very fuel efficient,manual,4wd - four-wheel drive (4wd),,hyundai,hd,2017.0,Hyundai HD 320 2017 car,40485.92011,diesel,11.1
24,531808,imported,new car,suv,0,white,yellow,5,7,Petrol	2.0 L,nan,automatic,awd - 4-wheel drive (awd),,volvo,xc90,2023.0,Volvo XC90 Inscription B6 AWD 2023,161943.6805,petrol,2.0
25,560029,imported,new car,truck,0,white,cream,2,3,Diesel,powerful turbocharger saves fuel,manual,rfd - rear-wheel drive,,isuzu,qkr,2022.0,Isuzu QKR IZ65 2t5-3t5 BAT 2022,17611.37525,diesel,
26,587030,imported,new car,truck,0,white,cream,2,3,Diesel,powerful turbocharger saves fuel,manual,rfd - rear-wheel drive,,hyundai,hd,2022.0,Hyundai HD Ben 15 Ton 2022,40485.92011,diesel,
